OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude,Size Category,Canopy Area,Height_Spread_Ratio,Distance_From_Center,Genus_Species_Count,Annual_CO2_Sequestration,Age_Category,Height_Normalized,Canopy Spread_Normalized,Canopy Area_Normalized,Spring_Canopy,Summer_Canopy,Fall_Canopy,Winter_Canopy,Spatial_Cluster
11,10319,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,24.0,62.0,40.00959138,-105.2744772,Extra Large,452.3893421169302,2.5833333333333335,0.0007712820402096559,1,100,Very Old,1.4415179368680568,0.42792148845026645,0.14728050452149247,407.1504079052372,452.3893421169302,407.1504079052372,407.1504079052372,3
12,10328,DECIDUOUS,Quercus,rubra,,Northern Red Oak,40.0,56.0,40.00969183,-105.275427,Large,1256.6370614359173,1.4,0.0016867126451431587,10,70,Very Old,1.1241307345596183,1.8934641728617572,1.9593021352856264,879.645943005142,1256.6370614359173,753.9822368615504,125.66370614359174,4
13,10329,DECIDUOUS,Tilia,americana,,American Linden,35.0,40.0,40.00979183,-105.275269,Medium,962.1127501618741,1.1428571428571428,0.0015714695445743958,2,48,Old,0.27776486173711495,1.4354820839831663,1.2957199951132141,673.4789251133119,962.1127501618741,577.2676500971245,96.21127501618741,4
14,10345,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,40.0,45.0,40.01035936,-105.2753222,Large,1256.6370614359173,1.125,0.0019039082678184095,1,70,Old,0.5422541969941472,1.8934641728617572,1.9593021352856264,879.645943005142,1256.6370614359173,753.9822368615504,125.66370614359174,4
15,10348,DECIDUOUS,Prunus,Unknown,,Flowering fruit trees,16.0,30.0,40.0103547,-105.2750968,Medium,201.06192982974676,1.875,0.0017277876177033231,1,48,Mature,-0.25121380877694954,-0.30484985375547896,-0.4189762550922993,140.74335088082273,201.06192982974676,120.63715789784806,20.106192982974676,4
16,10458,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,10.0,20.0,40.01004684,-105.2755822,Small,78.53981633974483,2.0,0.0019614426752294894,1,20,Mature,-0.7801924792910141,-0.854428360409788,-0.6950264254040228,70.68583470577035,78.53981633974483,70.68583470577035,70.68583470577035,4
17,10464,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,25.0,40.0,40.00950967,-105.2757369,Medium,490.8738521234052,1.6,0.0019475920906602826,1,48,Old,0.27776486173711495,0.5195179062259846,0.23398857083735436,441.7864669110647,490.8738521234052,441.7864669110647,441.7864669110647,4
18,10467,CONIFEROUS,Pinus,nigra,,Austrian Pine,16.0,29.0,40.01032476,-105.2760597,Medium,201.06192982974676,1.8125,0.0025125977971882686,9,48,Mature,-0.304111675828356,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,4
19,10468,CONIFEROUS,Pinus,mugo,,Mugo Pine,7.0,5.0,40.0102291,-105.2760614,Small,38.48451000647496,0.7142857142857143,0.0024726674210549158,9,20,Young,-1.573660485062111,-1.1292176137369425,-0.7852735964674709,34.63605900582747,38.48451000647496,34.63605900582747,34.63605900582747,4
20,10472,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,16.0,30.0,40.0103109,-105.2759547,Medium,201.06192982974676,1.875,0.0024128052026288925,9,48,Mature,-0.25121380877694954,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,4
21,10479,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,15.0,60.0,40.01030592,-105.2757596,Large,176.71458676442586,4.0,0.002239100057706284,9,70,Very Old,1.335722202765244,-0.3964462715311971,-0.4738323786798854,159.0431280879833,176.71458676442586,159.0431280879833,159.0431280879833,4
22,10480,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,15.0,50.0,40.01032389,-105.275713,Large,176.71458676442586,3.3333333333333335,0.0022078642820989747,9,70,Very Old,0.8067435322511796,-0.3964462715311971,-0.4738323786798854,159.0431280879833,176.71458676442586,159.0431280879833,159.0431280879833,4
23,10750,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,30.0,40.009399,-105.2742956,Medium,176.71458676442586,2.0,0.0005218304571889012,3,48,Mature,-0.25121380877694954,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,3
24,10762,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,20.0,30.0,40.00977326,-105.2762282,Medium,314.1592653589793,1.5,0.002481502134678541,3,48,Mature,-0.25121380877694954,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,4
25,10763,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,20.0,30.0,40.00966799,-105.2761499,Medium,314.1592653589793,1.5,0.002382368727666089,3,48,Mature,-0.25121380877694954,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,4
